epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,23893.4,0.86396,0.80173,1.3054,0.7264,0.55447,0.6288,0.44879,0.9124,0.8037,1.41905,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,24639.6,0.86366,0.79306,1.29987,0.72693,0.55419,0.62912,0.44904,0.91173,0.8044,1.41844,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,25384.6,0.85238,0.77984,1.29643,0.725,0.555,0.62892,0.44887,0.91091,0.80497,1.41794,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,26130,0.84588,0.76697,1.29287,0.72633,0.55433,0.62917,0.44896,0.91091,0.80459,1.41826,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,26874,0.83935,0.75554,1.2861,0.72841,0.55353,0.62933,0.44877,0.91072,0.80484,1.41808,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,27618,0.83429,0.74395,1.28218,0.72827,0.55348,0.62934,0.44892,0.9105,0.80499,1.41807,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,28363.9,0.8395,0.75168,1.28217,0.72596,0.55622,0.62858,0.44887,0.91031,0.80523,1.41807,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,29110.6,0.82951,0.73758,1.28066,0.72754,0.55505,0.62874,0.44893,0.90992,0.80591,1.41776,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,29855.9,0.81935,0.71961,1.27027,0.72837,0.55465,0.6287,0.44898,0.90964,0.80676,1.41733,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,30600.8,0.77629,0.66681,1.30566,0.72649,0.55652,0.62877,0.44941,0.90922,0.80731,1.41741,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,31343.3,0.76212,0.64533,1.29503,0.72645,0.55754,0.62872,0.44934,0.9088,0.80817,1.41715,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,32086.5,0.75892,0.62637,1.28854,0.72738,0.55688,0.62854,0.4494,0.90864,0.8088,1.41719,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,32834.4,0.74409,0.60865,1.27578,0.72808,0.5575,0.62861,0.44903,0.90854,0.80979,1.41726,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,33579.7,0.74004,0.591,1.27006,0.73536,0.55244,0.629,0.44926,0.90839,0.81075,1.4178,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,34322.9,0.72575,0.57479,1.25819,0.73014,0.55589,0.62875,0.44901,0.90796,0.81211,1.4177,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,35067.4,0.72266,0.56463,1.25103,0.73552,0.55232,0.62872,0.44914,0.90796,0.81343,1.41814,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,35812.6,0.70803,0.54472,1.23842,0.72775,0.55638,0.62753,0.44873,0.90776,0.81545,1.41847,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,36557.2,0.70478,0.53313,1.23648,0.73098,0.55512,0.62736,0.4487,0.90769,0.81712,1.41874,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,37301.8,0.69227,0.52283,1.22652,0.73238,0.55398,0.6271,0.44835,0.9076,0.81865,1.41901,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
